Object_ID,x_center,y_center
1,611.9868352783446,48.29850887578307
2,136.6045108143794,45.97415005493448
3,65.48619223618851,49.55190577810685
4,562.8932542069917,52.674266958290566
5,355.3471142121726,59.846609198854125
6,578.6315507849088,61.099891439319165
7,629.7975666673767,60.83451535269056
8,492.69127901338595,62.343780761484396
9,458.5787151141448,63.406464662721504
10,590.4107647259638,63.9058867406832
11,287.3643196167236,64.624486016644
12,556.4562278474054,64.91989358032373
13,690.6763500407452,64.32054147083893
14,126.34608389124492,66.24818473551353
15,191.70657326893496,66.1879605159764
16,380.17667367399144,66.2411260593288
17,466.2274305191518,66.64109621156486
18,210.4182569905529,67.28760750349164
19,442.992547586208,67.92674070535267
20,603.3526163575966,68.21646827553803
21,158.31454631661302,72.00567329440027
22,534.5226328293725,71.51188668784332
23,179.6176115603848,72.71310063531327
24,669.8860836775107,72.34384701453897
25,695.7121099799094,73.05583920828279
26,514.9666591627595,74.46539195794557
27,753.4694418827656,75.32101638939727
28,582.7986985013481,75.9730573630539
29,120.11103405639011,77.01999420682661
30,148.72425794487322,76.24133117414722
31,180.15584259727103,76.59616033681678
32,190.23902979669242,78.4621333384584
33,215.5411785764679,79.05035711916142
34,591.6278442228171,78.82723116623328
35,786.155140388059,78.69359627989638
36,375.6967737270823,80.27048618544005
37,337.1680250215769,81.66325676393024
38,368.67554805179776,81.36400170488533
39,157.91992255051872,82.99236825427153
40,686.0042558857294,82.68825265660212
41,431.82492662999164,85.15447213037152
42,590.6818443390755,86.09606422146102
43,726.8812810388598,86.08422744601134
44,338.31765148602744,86.9792570240746
45,388.96932654212935,87.60186427182649
46,494.03588068873876,86.28455897722728
47,242.5499266801532,87.98032811777844
48,648.2400233989179,87.80190835838134
49,777.4499528633521,88.72565688345043
50,235.86822420653857,89.14136859246635
51,496.8330668373386,90.08898991999621
52,358.9099851299526,92.25077090867174
53,653.4056909377994,92.69749525991278
54,408.3531100342999,94.18602503982947
55,511.2757909944014,94.44252600105128
56,325.54510045536796,97.35653673238866
57,498.7183088022099,99.12895957994023
58,662.0794101408551,99.36060277345754
59,309.995394766064,100.89097500214174
60,492.7445110280863,101.1020490040685
61,250.22449997726426,101.20246815556303
62,646.8217462132753,103.41532945032895
63,196.8313716616458,104.84679944715023
64,400.35085341635994,104.48194217968913
65,481.87554183363375,105.28753477690408
66,597.1726595281467,105.74551704391037
67,754.2315491411625,106.97395342013024
68,627.3663867450616,108.86602775282589
69,398.7873550051978,110.17430259898592
70,470.6411137092025,110.21386280432789
71,673.9828609414105,111.02347589625187
72,787.5882699957567,110.08694802042812
73,534.8640853428976,111.22753780636613
74,156.42763447717755,112.71560338509084
75,682.4884491477369,113.05364063580924
76,43.06187480269796,114.91801848756056
77,170.3937315157928,115.90324538084624
78,481.8108394801121,115.59381558648582
79,584.0990039366511,115.37669858962515
80,770.1587345223568,115.32281552541448
81,425.917246096084,116.28710473905511
82,115.75342616978725,117.78377110289351
83,162.00611207460508,117.94516269728706
84,444.704969070398,117.68627971319839
85,750.3298831047705,117.97944914092436
86,714.4462506084269,118.90572265987183
87,430.4970107660028,119.50145302947911
88,476.16554136279046,120.0330083607297
89,774.6318578831896,120.4824141656901
90,413.37294967580544,122.6374525401279
91,540.172054451205,122.56957159627053
92,616.4142341758707,123.52360859170649
93,668.7541784998109,123.05309770472547
94,681.9357180347342,123.8358113264959
95,431.8856485993962,124.35197810938071
96,114.5599450417586,125.42813119170032
97,407.29141008999363,125.23497679110342
98,447.34277440381203,125.77884053888322
99,600.7831205150062,126.84548303683022
100,475.4777375248418,127.75677751922267
101,404.64799517346,129.15137554177733
102,177.23508847585208,130.2178123647475
103,456.9441109279685,130.54216326363928
104,286.4382649247985,132.3674575167822
105,633.7765315609486,132.58744206718302
106,132.53602564107481,133.19731027310377
107,261.48573965613673,133.71770692442078
108,728.789377304425,133.44777027776297
109,217.86481870662413,135.57411315353352
110,592.451200231764,134.38856338153738
111,252.85806833642576,135.2512390021734
112,522.9128324343624,135.10707507768961
113,403.1039266910291,136.81131523771546
114,499.1704779502993,136.15733169463363
115,563.0082718602299,136.43865070859857
